round,stagnation_round,phase,runtime,objective,status,bdc,generic2,lc,negative,ng,p,pc1,saf,sc2,sc3,toh,valh,varh
36,15,probing,1.0348450000019511,5834,ExitStatus.FEASIBLE,1000,True,1,STR2,NO,SAC3,True,True,Bits,Tries,False,Rand,Memory
37,16,probing,1.0048531249922235,6390,ExitStatus.FEASIBLE,10,True,10,STR0,RST,BT,False,True,Matrix3D,Matrix2D,False,First,PickOnDom
38,17,probing,1.0199478340073256,,ExitStatus.UNKNOWN,1,False,1,V,NO,BT,True,True,Tries,Table,False,RunRobin,Rand
39,18,probing,1.035890458006179,5903,ExitStatus.FEASIBLE,1000,False,1,STR2N,RST,AC,False,True,Matrix2D,Matrix2D,False,Last,Memory
40,19,probing,1.0249791249952978,6093,ExitStatus.FEASIBLE,1000,False,2,STR1,RST,SAC3,True,True,Table,MDD,False,Rand,FrbaOnDom
41,20,probing,1.0481989589898149,5907,ExitStatus.FEASIBLE,10,False,0,STR0,NO,SAC3,True,True,Table,Matrix2D,False,Rand,Rand
42,21,probing,1.0208572080009617,,ExitStatus.UNKNOWN,1000,True,2,CT,NO,GT,False,False,Bits,Bits,False,Vals,Impact
43,22,probing,1.020365167001728,,ExitStatus.UNKNOWN,10,False,2,STR3,NO,AP,True,True,Matrix2D,Tries,False,Conflicts,FrbaOnDom
44,23,probing,0.9946554159978405,6373,ExitStatus.FEASIBLE,100,False,10,STR0,NO,BT,False,True,Table,MDD,True,Rand,RunRobin
45,24,probing,1.0443771249993006,5881,ExitStatus.FEASIBLE,10,False,0,STR3,RST,AC,True,False,Table,Tries,True,RunRobin,Impact
46,25,probing,1.044659082996077,5106,ExitStatus.FEASIBLE,100,False,1,V,NO,AC,True,False,MDD,MDD,False,Vals,FrbaOnDom
47,26,probing,1.0203705000021728,,ExitStatus.UNKNOWN,1000,False,10,STR2,RST,BT,False,True,Table,Matrix2D,True,Last,Lexico
48,27,probing,0.8298826670070412,7012,ExitStatus.FEASIBLE,100,True,10,CMDDO,NO,GT,True,False,Matrix3D,MDD,False,Rand,RunRobin
49,28,probing,1.0501865410042228,5521,ExitStatus.FEASIBLE,100,True,0,STR1N,NO,AC,False,False,Table,Matrix2D,False,Median,Wdeg
50,29,probing,1.0201696669973899,,ExitStatus.UNKNOWN,1000,True,5,CMDDO,RST,BT,False,True,Matrix2D,Bits,True,Rand,Memory
51,30,probing,1.0186504580051405,6126,ExitStatus.FEASIBLE,100,True,0,STR1,NO,SAC3,False,False,Bits,TableHybrid,True,Last,FrbaOnDom
52,31,probing,1.0200526670087129,,ExitStatus.UNKNOWN,1,False,1,STR1,NO,GT,True,False,MDD,Tries,True,Last,Impact
53,32,probing,1.0638467500102706,5551,ExitStatus.FEASIBLE,10,True,0,VA,RST,AC,True,False,Tries,MDD,True,Median,PickOnDom
54,33,probing,1.020256290998077,,ExitStatus.UNKNOWN,10,False,2,STR3,RST,GT,False,False,Matrix2D,Table,False,Median,Impact
55,34,probing,1.0521040829917183,6030,ExitStatus.FEASIBLE,1000,False,0,STR0,NO,AC,False,False,Matrix2D,TableHybrid,True,First,RunRobin
56,1,probing,0.833097375012585,0,ExitStatus.OPTIMAL,1,False,10,STR2,RST,GT,False,False,Matrix3D,Matrix3D,True,First,Wdeg
57,2,probing,1.03641862499353,6137,ExitStatus.FEASIBLE,1,True,0,STR3,RST,SAC3,False,False,Matrix2D,Matrix2D,False,OccsR,Memory
58,3,probing,0.8653509580035461,6552,ExitStatus.FEASIBLE,1000,False,2,STR1N,NO,BT,True,True,Tries,TableHybrid,False,Median,WdegOnDom
59,4,probing,1.0368389159993967,,ExitStatus.UNKNOWN,10,False,0,CMDDS,RST,BT,True,False,Tries,Table,True,Conflicts,RunRobin
60,5,probing,1.0300685830006842,5709,ExitStatus.FEASIBLE,10,True,2,STR1,NO,AC,True,False,Tries,Tries,False,Rand,Rand
61,6,probing,1.045716959008132,5604,ExitStatus.FEASIBLE,100,True,2,VA,NO,AC,True,True,TableHybrid,Matrix3D,False,Last,RunRobin
62,7,probing,1.0217315409972798,,ExitStatus.UNKNOWN,100,False,2,STR3,NO,GT,True,False,TableHybrid,TableHybrid,True,Last,Lexico
63,8,probing,0.6577022919955198,4770,ExitStatus.FEASIBLE,1000,True,0,V,RST,BT,False,True,TableHybrid,Table,False,RunRobin,RunRobin
64,9,probing,1.0482931250007823,5542,ExitStatus.FEASIBLE,10,False,0,CMDDO,RST,AP,False,False,Matrix2D,MDD,False,RunRobin,Rand
65,10,probing,1.036394584007212,6137,ExitStatus.FEASIBLE,1000,True,2,STR1N,RST,SAC3,False,False,Matrix3D,TableHybrid,False,First,Impact
66,11,probing,1.352663665995351,,ExitStatus.UNKNOWN,10,True,0,V,RST,GT,False,False,Tries,MDD,False,First,FrbaOnDom
67,12,probing,1.038138333009556,5549,ExitStatus.FEASIBLE,10,True,1,STR0,NO,AP,True,False,Bits,Table,True,Last,PickOnDom
68,2,probing,0.7549250419979217,0,ExitStatus.FEASIBLE,100,False,0,STR2,NO,GT,False,True,MDD,Tries,True,First,FrbaOnDom
69,3,probing,1.0310944590019062,5881,ExitStatus.FEASIBLE,1000,True,2,CT,RST,SAC3,True,True,TableHybrid,Matrix2D,True,Vals,Wdeg
70,4,probing,1.0210352080030134,,ExitStatus.UNKNOWN,1000,False,2,V,NO,AP,False,True,Matrix3D,MDD,False,Conflicts,Lexico
71,5,probing,1.0358856249949895,,ExitStatus.UNKNOWN,10,False,1,STR1N,NO,AC,True,False,Matrix3D,MDD,False,Rand,Activity
72,6,probing,1.0451007920055417,5437,ExitStatus.FEASIBLE,1,False,1,CT,RST,AP,False,True,TableHybrid,Matrix3D,False,Rand,PickOnDom
73,7,probing,1.0473755830025766,5551,ExitStatus.FEASIBLE,1,False,10,STR3,NO,AC,True,False,Tries,TableHybrid,False,Last,WdegOnDom
74,8,probing,1.014613624996855,,ExitStatus.UNKNOWN,10,False,1,STR1N,NO,GT,True,True,Table,Bits,True,Last,Activity
75,9,probing,1.0350192920013797,6137,ExitStatus.FEASIBLE,1000,True,0,STR2,RST,SAC3,False,False,Matrix3D,Tries,True,RunRobin,FrbaOnDom
76,10,probing,1.0204177910054568,,ExitStatus.UNKNOWN,1,False,5,V,RST,GT,False,False,Table,MDD,False,RunRobin,Lexico
77,11,probing,1.0318475829990348,,ExitStatus.UNKNOWN,100,True,1,STR2,NO,AP,True,True,Matrix3D,TableHybrid,True,Conflicts,Memory
78,12,probing,1.0391710410040105,5551,ExitStatus.FEASIBLE,10,False,1,STR3,RST,AC,True,True,MDD,Table,False,OccsR,FrbaOnDom
79,13,probing,1.0340569590043742,6131,ExitStatus.FEASIBLE,1000,False,0,V,NO,SAC3,True,False,Tries,Matrix3D,True,Median,Activity
80,14,probing,1.046216667004046,5424,ExitStatus.FEASIBLE,10,True,0,STR2,RST,AC,False,True,Table,Bits,False,Last,WdegOnDom
81,15,probing,0.8725009589979891,7127,ExitStatus.FEASIBLE,100,True,0,STR2,RST,GT,False,True,MDD,TableHybrid,False,OccsR,Wdeg
82,16,probing,1.0387152910116129,,ExitStatus.UNKNOWN,100,True,5,STR2N,RST,BT,True,True,Matrix3D,Matrix2D,False,First,Memory
83,17,probing,1.0213214999967022,,ExitStatus.UNKNOWN,100,False,2,STR2,NO,BT,True,False,TableHybrid,Matrix2D,False,Last,Rand
84,18,probing,1.035571708009229,,ExitStatus.UNKNOWN,1000,True,5,CMDDO,NO,GT,True,False,Matrix3D,Bits,False,Rand,Activity
85,19,probing,1.019823875001748,,ExitStatus.UNKNOWN,10,True,10,VA,NO,BT,False,True,MDD,MDD,True,Last,FrbaOnDom
86,20,probing,1.0343094999989262,,ExitStatus.UNKNOWN,10,False,5,CT,RST,BT,False,False,Table,Matrix2D,True,Median,FrbaOnDom
87,21,probing,1.0337884579930687,5834,ExitStatus.FEASIBLE,1,True,5,STR3,RST,SAC3,True,False,Tries,Matrix3D,False,Median,Memory
88,22,probing,1.0592175419878913,5791,ExitStatus.FEASIBLE,1000,False,0,STR2N,RST,AC,False,False,Bits,Table,False,Last,Impact
89,23,probing,3.3814852080104174,,ExitStatus.UNKNOWN,1,False,5,STR0,RST,BT,False,True,Matrix3D,Matrix2D,False,Median,Impact
90,24,probing,1.034521624998888,,ExitStatus.UNKNOWN,100,True,5,STR1N,NO,GT,False,False,Table,TableHybrid,True,First,Activity
91,25,probing,1.0283126249996712,5886,ExitStatus.FEASIBLE,10,False,0,V,NO,AP,False,False,TableHybrid,Bits,True,RunRobin,Lexico
92,26,probing,1.034671041998081,,ExitStatus.UNKNOWN,100,True,1,CT,RST,BT,False,False,TableHybrid,MDD,False,Last,PickOnDom
93,27,probing,1.0350429999962216,5834,ExitStatus.FEASIBLE,100,False,5,STR3,NO,SAC3,True,True,Matrix2D,Matrix2D,False,Median,Memory
